,label,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
0,0,7334.74,10289.86,6836.5,11421.58,10170.22,6656.62,12224.76,11317.72
1,0,7410.4,10290.14,6878.52,11360.3,10124.86,6582.5,12243.58,11285.22
2,0,7287.16,10232.46,6886.88,11395.14,10078.22,6584.96,12286.42,11301.62
3,0,7315.64,10230.14,6967.86,11405.72,10105.54,6613.42,12310.44,11337.46
4,0,6485.7,9958.92,6122.24,11279.28,10085.46,6034.38,12218.66,11102.12
5,0,5821.48,9921.54,5522.64,11279.1,10071.94,5849.32,12205.6,11080.86
6,0,6742.78,10308.54,5959.64,11348.2,10111.88,6435.98,12566.9,11349.16
7,0,7661.6,11048.26,7407.1,11773.14,10935.92,7369.68,13097.22,11996.06
8,0,7766.22,11148.32,7823.48,11840.02,11009.92,7554.86,13134.92,11992.4
9,0,7776.56,11158.94,7750.48,11854.32,10937.28,7513.16,13141.52,11897.3
10,0,7660.92,11004.92,7564.34,11815.46,10808.14,7333.3,13151.44,11814.98
11,0,7617.08,11025.9,7540.96,11828.8,10784.78,7337.7,13148.78,11820.76
12,0,7582.04,10919.92,7490.3,11825,10763.18,7280.44,13115.7,11813.12
13,0,7583.56,10931.4,7521.46,11843.52,10742.88,7303.98,13107.28,11814.58
14,0,7421.32,10658.86,7422.28,11740.94,10415.38,7318.48,12995.38,11652.96
15,0,7429.12,10586.9,7339.84,11703.6,10284.56,7203.72,12855.8,11592.22
16,0,7462.58,10616.88,7352.96,11699.7,10400.88,7201.62,12869.2,11627.02
17,0,7457.52,10605.36,7366.38,11693.54,10302.9,7168.04,12833.6,11628.2
18,0,7248.34,10532.76,7353.42,11678.28,10275.32,7137.38,12815.88,11600.02
19,0,7248.54,10521.7,7356.06,11668.18,10112.34,7064.58,12815.4,11603.78
20,0,7307.24,10619.72,7292.5,11687.06,10264.84,7145.74,12833.36,11633.58
21,0,7421.5,10631.4,7382.62,11698.14,10231.64,7160.84,12833.14,11637.7
22,0,7446.22,10618.24,7403.78,11707.56,10284.56,7215.48,12859.28,11649.82
23,0,7445.72,10630.26,7364.18,11706.32,10105.48,7163.76,12848.56,11591.66
24,0,7469.84,10615.82,7225.52,11682.24,10104.9,7044.32,12865.54,11503.96
25,0,7451.52,10628.64,7274.84,11672.22,10043,6897.92,12847.12,11388.12
26,0,7451.52,10628.64,7274.84,11672.22,10043,6897.92,12847.12,11388.12
27,0,7373.82,10499.3,7108.4,11544.14,9685.46,6527.68,12799.28,11136.22
28,0,7373.82,10499.3,7108.4,11544.14,9685.46,6527.68,12799.28,11136.22
29,0,7502.3,10640.1,7237.4,11571.1,9879.96,6611.8,12813.26,11254.2
30,0,7502.3,10640.1,7237.4,11571.1,9879.96,6611.8,12813.26,11254.2
31,0,7400.22,10646.68,7310.82,11600.24,10001.4,6900.7,12827.54,11285.72
