,Unnamed: 0,label,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.0,21.33,18.88,21.6,21.22,21.83,18.71,22.29,18.17
3,3.0,0.0,20.22,19.15,21.34,21.28,24.18,20.51,22.36,20.46
4,4.0,0.0,20.16,19.56,19.29,20.27,24.15,19.75,21.12,19.15
5,5.0,0.0,21.33,17.53,20.3,21.75,22.8,19.56,21.28,18.9
6,6.0,0.0,20.85,17.72,21.57,21.58,20.29,20.7,20.97,18.64
7,7.0,0.0,22.14,18.03,21.22,21.38,24.56,18.7,21.16,18.59
8,8.0,0.0,21.91,17.38,20.78,20.45,21.32,20.17,22.33,18.69
9,9.0,0.0,21.71,17.52,21.04,22.26,23.6,19.15,21.02,19.7
10,10.0,0.0,21.6,16.9,20.88,23.19,20.92,19.23,21.33,18.71
11,11.0,0.0,21.97,17.94,19.95,23.09,23.03,19.75,21.49,20.11
12,12.0,0.0,21.49,18.24,20.67,21.39,22.71,19.62,21.49,18.77
13,13.0,0.0,20.9,18.38,20.85,20.89,22.25,21.84,20.89,18.82
14,14.0,0.0,21.1,17.62,20.25,21.12,24.3,19.47,21.56,19.29
15,15.0,0.0,19.88,17.21,20.4,21.77,23.24,20.04,20.58,18.22
16,16.0,0.0,20.88,18.57,20.94,21.84,22.62,20.05,22.39,17.82
17,17.0,0.0,21.21,18.87,20.21,20.91,23.3,21.81,22.1,20.28
18,18.0,0.0,21.83,19.16,20.68,22.7,23.61,20.01,21.85,18.65
19,19.0,0.0,21.62,18.06,20.6,21.8,23.61,19.43,20.31,18.48
20,20.0,0.0,20.7,17.68,20.61,21.9,25.62,20.29,22.06,19.72
21,21.0,0.0,19.72,18.09,20.11,21.63,23.62,19.62,21.75,18.58
22,22.0,0.0,20.83,17.97,21.35,20.54,22.07,21.35,20.83,18.54
23,23.0,0.0,20.43,16.44,20.91,21.01,21.8,19.7,21.37,17.93
24,24.0,0.0,20.39,19.62,19.44,20.65,25.21,20.26,21.26,18.14
25,25.0,0.0,21.07,18.19,19.62,21.23,22.57,20.46,21.7,18.41
26,26.0,0.0,21.37,17.28,19.21,21.52,24.42,21.01,22.06,17.79
27,27.0,0.0,21.39,19.23,21.22,20.44,22.27,20.11,22.03,19.33
28,28.0,0.0,21.52,19.32,21.7,21.57,23.74,20.16,20.77,18.99
29,29.0,0.0,20.82,17.37,20.88,21.61,23.56,19.39,20.91,18.36
30,30.0,0.0,21.34,19.23,21.73,21.57,23.96,21.25,21.69,19.25
31,31.0,0.0,21.87,19.79,20.12,22.32,23.12,20.07,21.51,18.61
32,32.0,0.0,20.25,18.53,20.04,21.84,22.57,20.36,20.74,18.79
33,33.0,0.0,20.78,19.13,20.12,21.41,22.73,19.92,21.46,19.18
34,34.0,0.0,20.53,18.15,20.68,21.85,21.9,21.42,20.86,18.39
35,35.0,0.0,19.36,17.12,20.86,21.57,23.08,20.47,21.88,18.38
36,36.0,0.0,22.97,17.29,20.43,22.01,23.5,19.83,22.83,18.52
37,37.0,0.0,21.56,18.47,20.23,22.73,22.7,19.95,21.15,20.22
38,38.0,0.0,20.68,17.54,19.91,23.1,22.08,19.73,20.14,17.55
39,39.0,0.0,20.33,19.76,20.57,21.3,23.55,21.78,20.94,19.25
40,40.0,0.0,21.84,17.84,20.33,22.06,21.44,18.94,21.73,18.69
41,41.0,0.0,22.23,18.35,20.25,21.16,22.28,19.92,20.35,19.21
42,42.0,0.0,20.48,17.5,22.09,19.37,21.5,22.5,20.17,19.19
43,43.0,0.0,21.05,18.63,21.25,21.44,23.29,20.24,21.5,18.11
44,44.0,0.0,21.46,17.93,19.71,21.02,22.85,19.36,21.41,18.0
45,45.0,0.0,21.09,18.25,21.23,21.9,20.26,22.52,21.96,18.41
46,46.0,0.0,22.74,18.08,21.6,21.87,23.07,18.99,19.37,18.75
47,47.0,0.0,21.75,19.45,20.55,21.4,23.82,21.32,21.11,19.18
48,48.0,0.0,19.92,18.35,20.5,21.85,22.42,20.54,21.03,19.27
49,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50.0,,21.33,18.88,21.6,21.22,21.83,18.71,22.29,18.17
51,51.0,,20.22,19.15,21.34,21.28,24.18,20.51,22.36,20.46
52,52.0,,20.16,19.56,19.29,20.27,24.15,19.75,21.12,19.15
53,53.0,,21.33,17.53,20.3,21.75,22.8,19.56,21.28,18.9
54,54.0,,20.85,17.72,21.57,21.58,20.29,20.7,20.97,18.64
55,55.0,,22.14,18.03,21.22,21.38,24.56,18.7,21.16,18.59
56,56.0,,21.91,17.38,20.78,20.45,21.32,20.17,22.33,18.69
57,57.0,,21.71,17.52,21.04,22.26,23.6,19.15,21.02,19.7
58,58.0,,21.6,16.9,20.88,23.19,20.92,19.23,21.33,18.71
59,59.0,,21.97,17.94,19.95,23.09,23.03,19.75,21.49,20.11
60,60.0,,21.49,18.24,20.67,21.39,22.71,19.62,21.49,18.77
61,61.0,,20.9,18.38,20.85,20.89,22.25,21.84,20.89,18.82
62,62.0,,21.1,17.62,20.25,21.12,24.3,19.47,21.56,19.29
63,63.0,,19.88,17.21,20.4,21.77,23.24,20.04,20.58,18.22
64,64.0,,20.88,18.57,20.94,21.84,22.62,20.05,22.39,17.82
65,65.0,,21.21,18.87,20.21,20.91,23.3,21.81,22.1,20.28
66,66.0,,21.83,19.16,20.68,22.7,23.61,20.01,21.85,18.65
67,67.0,,21.62,18.06,20.6,21.8,23.61,19.43,20.31,18.48
